ID,Sputtering Order,Ni Content,Sputtering Power,Temperature,H2 Flow Rate,Single-crystal Ratio of Substrate,hBN Domain Alignment
num,B,C,D,E,F,G,H
1,0,10,50,1000,500,81.2,2
2,0,10,100,1000,500,86.4,2
3,0,10,150,1000,500,93,2
4,0,10,200,1000,500,88.6,2
5,0,10,250,1000,500,82.5,2
6,0,10,300,1000,500,74.4,2
7,0,10,50,1000,500,80.8,2
8,0,10,100,1000,500,85.8,2
9,0,10,150,1000,500,93.3,2
10,0,10,200,1000,500,88,2
11,0,10,250,1000,500,82.6,2
12,0,10,300,1000,500,75,2
13,0,10,50,1000,500,80.8,2
14,0,10,100,1000,500,86.9,2
15,0,10,150,1000,500,93,2
16,0,10,200,1000,500,87.9,2
17,0,10,250,1000,500,81.6,2
18,0,10,300,1000,500,74.9,2
19,0,0,150,1050,1000,92.4,2
20,0,10,150,1050,1000,95,2
21,0,20,150,1050,1000,95.5,1
22,0,30,150,1050,1000,82.6,1
23,0,40,150,1050,1000,66.3,1
24,0,50,150,1050,1000,48.1,1
25,0,60,150,1050,1000,30.7,1
26,0,70,150,1050,1000,19.5,1
27,0,80,150,1050,1000,10.4,1
28,0,90,150,1050,1000,6.4,1
29,0,100,150,1050,1000,3.4,1
30,0,0,150,1050,1000,94.5,2
31,0,10,150,1050,1000,95.3,2
32,0,20,150,1050,1000,95.6,1
33,0,30,150,1050,1000,83.1,1
34,0,40,150,1050,1000,66.6,1
35,0,50,150,1050,1000,48,1
36,0,60,150,1050,1000,30.3,1
37,0,70,150,1050,1000,18.3,1
38,0,80,150,1050,1000,10.5,1
39,0,90,150,1050,1000,5.5,1
40,0,100,150,1050,1000,3.1,1
41,0,0,150,1050,1000,93.6,2
42,0,10,150,1050,1000,96.6,2
43,0,20,150,1050,1000,95.8,1
44,0,30,150,1050,1000,83.7,1
45,0,40,150,1050,1000,66,1
46,0,50,150,1050,1000,48.7,1
47,0,60,150,1050,1000,31.8,1
48,0,70,150,1050,1000,18.9,1
49,0,80,150,1050,1000,10.5,1
50,0,90,150,1050,1000,6.3,1
51,0,100,150,1050,1000,3.3,1
52,0,10,150,700,1000,72.7,2
53,0,10,150,750,1000,77,2
54,0,10,150,800,1000,80.5,2
55,0,10,150,850,1000,86.2,2
56,0,10,150,900,1000,87.6,2
57,0,10,150,950,1000,91.2,2
58,0,10,150,1000,1000,93.6,2
59,0,10,150,1050,1000,95.5,2
60,0,10,150,1100,1000,87.2,2
61,0,10,150,700,1000,74.1,2
62,0,10,150,750,1000,75.9,2
63,0,10,150,800,1000,81.7,2
64,0,10,150,850,1000,84,2
65,0,10,150,900,1000,87.9,2
66,0,10,150,950,1000,90.2,2
67,0,10,150,1000,1000,94,2
68,0,10,150,1050,1000,96.4,2
69,0,10,150,1100,1000,87.5,2
70,0,10,150,700,1000,72.3,2
71,0,10,150,750,1000,77.1,2
72,0,10,150,800,1000,81.5,2
73,0,10,150,850,1000,85,2
74,0,10,150,900,1000,88.1,2
75,0,10,150,950,1000,91.7,2
76,0,10,150,1000,1000,93.8,2
77,0,10,150,1050,1000,96.7,2
78,0,10,150,1100,1000,88.5,2
79,0,10,150,1000,0,85.8,2
80,0,10,150,1000,40,87.8,2
81,0,10,150,1000,100,90,2
82,0,10,150,1000,200,90.1,2
83,0,10,150,1000,500,92.6,2
84,0,10,150,1000,1000,94.3,2
85,0,10,150,1000,0,86,2
86,0,10,150,1000,40,88.5,2
87,0,10,150,1000,100,89.7,2
88,0,10,150,1000,200,91.5,2
89,0,10,150,1000,500,93.4,2
90,0,10,150,1000,1000,94.6,2
91,0,10,150,1000,0,86.3,2
92,0,10,150,1000,40,88,2
93,0,10,150,1000,100,89.3,2
94,0,10,150,1000,200,90.8,2
95,0,10,150,1000,500,93.3,2
96,0,10,150,1000,1000,93.9,2
97,0,20,150,1050,1000,98.2,1
98,1,20,150,1050,1000,33.2,1
99,2,20,150,1050,1000,2.2,1
100,1,10,100,1000,1000,45.6,2
101,1,10,150,1000,500,43.8,2
102,1,20,100,1050,1000,29.5,1
103,1,20,150,1050,500,30.8,1
104,1,30,150,1050,1000,22.4,1
105,1,20,200,1100,1000,17.6,1
106,2,10,100,1000,1000,12.5,2
107,2,10,150,1000,500,12.8,2
108,2,20,100,1050,1000,3,1
109,2,20,200,1050,1000,1.4,1
110,2,30,150,1050,1000,0.8,1
111,2,20,150,1100,1000,0.4,1
112,0,0,150,1000,1000,94.2,2
113,0,0,200,1000,1000,88.7,2
114,0,5,100,950,500,84.3,2
115,0,5,150,1000,1000,97.1,2
116,0,5,200,1000,1000,90.1,2
117,0,15,100,1000,500,89.2,1
118,0,15,150,1050,1000,98,1
119,0,15,200,1050,1000,92.2,1
120,0,20,100,1000,500,86.5,1
121,0,20,150,1050,200,92.4,1
122,0,20,200,1050,1000,91.4,1
123,0,25,100,1000,500,82,1
124,0,25,150,1050,1000,93.1,1
125,0,25,200,1050,1000,85.6,1
126,0,30,100,1025,500,75,1
127,0,30,150,1075,1000,85.9,1
128,0,30,200,1075,1000,81.5,1
129,0,40,100,1025,500,58.5,1
130,0,40,150,1075,1000,68.6,1
131,0,40,200,1075,1000,62.5,1
132,0,50,100,1000,500,38.8,1
133,0,50,150,1050,200,47.7,1
134,0,50,200,1050,1000,46.1,1
135,0,60,100,1000,500,21.3,1
136,0,60,150,1050,200,28.7,1
137,0,60,200,1050,1000,29.2,1
